OBJECTID,Year,FedID,CDCode,CDSCode,CountyName,DistrictName,DistrictType,GradeLow,GradeHigh,GradeLowCensus,GradeHighCensus,AssistStatus,CongressUS,SenateCA,AssemblyCA,LocaleDistrict,UpdateNotes,EnrollTotal,EnrollCharter,EnrollNonCharter,AAcount,AApct,AIcount,AIpct,AScount,ASpct,FIcount,FIpct,HIcount,HIpct,PIcount,PIpct,WHcount,WHpct,MRcount,MRpct,NRcount,NRpct,ELcount,ELpct,FOScount,FOSpct,HOMcount,HOMpct,MIGcount,MIGpct,SWDcount,SWDpct,SEDcount,SEDpct,FRPMcount,FRPMpct,SHAPE_Length,SHAPE_Area
1,2019-20,0601770,0161119,01611190000000,Alameda,Alameda Unified,Unified,PK,12,KG,12,Differentiated Assistance,13,09,18,"21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,11285,1913,9372,795,7,34,0.30000001,2911,25.799999,630,5.5999999,1992,17.700001,63,0.60000002,3210,28.4,1400,12.4,250,2.2,1455,12.9,17,0.2,79,0.69999999,0,0,1303,11.5,3421,30.299999,3317,29.4,56522.9828476097,-47554894.4582703
2,2019-20,0601860,0161127,01611270000000,Alameda,Albany City Unified,Unified,KG,12,KG,12,General Assistance,13,09,15,"21 - Suburban, Large",,3586,0,3586,106,3,5,0.1,1042,29.1,38,1.1,580,16.200001,4,0.1,1067,29.799999,487,13.6,257,7.1999998,507,14.1,1,0,5,0.1,0,0,317,8.8000002,658,18.299999,635,17.700001,12696.3827783745,-7096327.4745139
3,2019-20,0604740,0161143,01611430000000,Alameda,Berkeley Unified,Unified,PK,12,KG,12,Differentiated Assistance,13,09,15,"12 - City, Midsize ",,9844,0,9844,1282,13,14,0.1,712,7.1999998,84,0.89999998,2188,22.200001,12,0.1,4054,41.200001,1487,15.1,11,0.1,813,8.3000002,21,0.2,221,2.2,0,0,1097,11.1,2789,28.299999,2673,27.200001,43695.341232107,-43646483.9858616
4,2019-20,0607800,0161150,01611500000000,Alameda,Castro Valley Unified,Unified,PK,12,KG,12,Differentiated Assistance,"13,15","07,09,10","18,20","21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,9321,0,9321,472,5.0999999,18,0.2,2646,28.4,416,4.5,2215,23.799999,38,0.40000001,2389,25.6,916,9.8000002,211,2.3,1067,11.4,13,0.1,93,1,0,0,821,8.8000002,2121,22.799999,2036,21.799999,142492.767571142,-283828533.022374
5,2019-20,0612630,0161168,01611680000000,Alameda,Emery Unified,Unified,PK,12,KG,12,Differentiated Assistance,13,09,15,"21 - Suburban, Large",,721,0,721,317,44,2,0.30000001,76,10.5,7,1,181,25.1,8,1.1,66,9.1999998,64,8.8999996,0,0,155,21.5,0,0,12,1.7,0,0,73,10.1,521,72.300003,507,70.300003,13741.2731058775,-5363392.37337413
6,2019-20,0614400,0161176,01611760000000,Alameda,Fremont Unified,Unified,PK,12,KG,12,General Assistance,"15,17",10,"20,25","21 - Suburban, Large",,35431,385,35046,648,1.8,91,0.30000001,22900,64.599998,1720,4.9000001,5111,14.4,212,0.60000002,3505,9.8999996,1038,2.9000001,206,0.60000002,4460,12.6,27,0.1,204,0.60000002,70,0.2,3318,9.3999996,7173,20.200001,6855,19.299999,163452.274885414,-321018983.35432
7,2019-20,0616740,0161192,01611920000000,Alameda,Hayward Unified,Unified,PK,12,KG,12,Differentiated Assistance,15,10,20,"12 - City, Midsize ",SY 2018-19 Boundary Adjustment/Correction,22329,2527,19802,1797,8,45,0.2,1839,8.1999998,1569,7,14424,64.599998,743,3.3,1028,4.5999999,833,3.7,51,0.2,6404,28.700001,57,0.30000001,713,3.2,445,2,2428,10.9,15974,71.5,15349,68.699997,82372.3101206865,-141981818.33623
8,2019-20,0622110,0161200,01612000000000,Alameda,Livermore Valley Joint Unified,Unified,PK,12,KG,12,Differentiated Assistance,"11,15",07,"14,16,20","23 - Suburban, Small",SY 2018-19 Boundary Adjustment/Correction,13722,0,13722,191,1.4,32,0.2,1296,9.3999996,411,3,4305,31.4,38,0.30000001,6266,45.700001,1147,8.3999996,36,0.30000001,1453,10.6,20,0.1,97,0.69999999,176,1.3,1926,14,3415,24.9,3288,24,206081.113255164,-1103915430.32057
9,2019-20,0626130,0161218,01612180000000,Alameda,Mountain House Elementary,Elementary,KG,08,KG,08,General Assistance,15,07,16,"41 - Rural, Fringe",SY 2018-19 Boundary Adjustment/Correction,15,0,15,0,0,0,0,0,0,0,0,12,80,0,0,3,20,0,0,0,0,5,33.299999,0,0,0,0,0,0,3,20,12,80,12,80,55768.4685199594,-124796628.824485
10,2019-20,0627060,0161234,01612340000000,Alameda,Newark Unified,Unified,PK,12,KG,12,Differentiated Assistance,17,10,25,"21 - Suburban, Large",,5669,0,5669,187,3.3,12,0.2,861,15.2,504,8.8999996,2994,52.799999,106,1.9,659,11.6,278,4.9000001,68,1.2,1130,19.9,11,0.2,248,4.4000001,76,1.3,682,12,2726,48.099998,2614,46.099998,39693.1055873302,-58146582.9590874
